,price_close,price_high,price_low,price_open,time_close,time_open,time_period_end,time_period_start,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
175,809.69,855.19,775.99,851.84,2018-02-11T23:58:29.0000000Z,2018-02-11T00:00:03.0000000Z,2018-02-12T00:00:00.0000000Z,2018-02-11T00:00:00.0000000Z,9480,25581.502392768,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
176,865.57,877.95,808.52,811.0,2018-02-12T23:55:53.0000000Z,2018-02-12T00:00:03.0000000Z,2018-02-13T00:00:00.0000000Z,2018-02-12T00:00:00.0000000Z,8169,23686.967968517,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
177,841.82,869.14,819.31,866.86,2018-02-13T23:59:46.0000000Z,2018-02-13T00:00:05.0000000Z,2018-02-14T00:00:00.0000000Z,2018-02-13T00:00:00.0000000Z,7345,24840.282034765,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
178,922.98,924.52,839.75,841.82,2018-02-14T23:59:42.0000000Z,2018-02-14T00:00:05.0000000Z,2018-02-15T00:00:00.0000000Z,2018-02-14T00:00:00.0000000Z,13600,43631.35095906,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
179,927.91,951.25,905.0,922.98,2018-02-15T23:59:59.0000000Z,2018-02-15T00:00:05.0000000Z,2018-02-16T00:00:00.0000000Z,2018-02-15T00:00:00.0000000Z,12951,41358.405778745,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
180,939.99,947.87,908.0,927.5,2018-02-16T23:59:27.0000000Z,2018-02-16T00:00:05.0000000Z,2018-02-17T00:00:00.0000000Z,2018-02-16T00:00:00.0000000Z,8197,23717.336149554,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
181,977.74,980.0,935.25,940.87,2018-02-17T23:59:51.0000000Z,2018-02-17T00:00:12.0000000Z,2018-02-18T00:00:00.0000000Z,2018-02-17T00:00:00.0000000Z,8694,20551.656195522,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
182,912.85,983.31,905.52,977.55,2018-02-18T23:59:00.0000000Z,2018-02-18T00:00:46.0000000Z,2018-02-19T00:00:00.0000000Z,2018-02-18T00:00:00.0000000Z,12256,28492.048787915,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
183,938.05,955.58,906.0,913.42,2018-02-19T23:59:52.0000000Z,2018-02-19T00:01:08.0000000Z,2018-02-20T00:00:00.0000000Z,2018-02-19T00:00:00.0000000Z,6572,14829.082737075,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
184,884.24,958.74,874.0,939.28,2018-02-20T23:59:51.0000000Z,2018-02-20T00:00:13.0000000Z,2018-02-21T00:00:00.0000000Z,2018-02-20T00:00:00.0000000Z,9949,25435.765167192,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
185,837.98,906.09,816.0,884.25,2018-02-21T23:59:43.0000000Z,2018-02-21T00:00:06.0000000Z,2018-02-22T00:00:00.0000000Z,2018-02-21T00:00:00.0000000Z,12470,34498.710010892,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
186,803.57,871.81,789.99,840.07,2018-02-22T23:59:45.0000000Z,2018-02-22T00:00:07.0000000Z,2018-02-23T00:00:00.0000000Z,2018-02-22T00:00:00.0000000Z,10284,26905.047752556,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
187,851.98,883.44,787.0,805.08,2018-02-23T23:59:50.0000000Z,2018-02-23T00:00:06.0000000Z,2018-02-24T00:00:00.0000000Z,2018-02-23T00:00:00.0000000Z,8708,20669.200614537,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
188,835.74,878.0,809.01,852.5,2018-02-24T23:59:26.0000000Z,2018-02-24T00:00:12.0000000Z,2018-02-25T00:00:00.0000000Z,2018-02-24T00:00:00.0000000Z,4635,11028.286159704,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
189,842.65,851.38,818.38,835.74,2018-02-25T23:59:57.0000000Z,2018-02-25T00:00:16.0000000Z,2018-02-26T00:00:00.0000000Z,2018-02-25T00:00:00.0000000Z,4171,8975.784169396,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
190,868.4,880.0,834.77,842.82,2018-02-26T23:59:27.0000000Z,2018-02-26T00:00:06.0000000Z,2018-02-27T00:00:00.0000000Z,2018-02-26T00:00:00.0000000Z,7769,15603.014714957,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
191,870.32,896.0,861.0,868.46,2018-02-27T23:59:56.0000000Z,2018-02-27T00:00:06.0000000Z,2018-02-28T00:00:00.0000000Z,2018-02-27T00:00:00.0000000Z,5242,14062.010442078,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
192,850.16,889.85,848.46,870.32,2018-02-28T23:59:26.0000000Z,2018-02-28T00:00:06.0000000Z,2018-03-01T00:00:00.0000000Z,2018-02-28T00:00:00.0000000Z,4568,15701.071185088,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
193,869.01,881.47,845.81,851.92,2018-03-01T23:58:58.0000000Z,2018-03-01T00:00:06.0000000Z,2018-03-02T00:00:00.0000000Z,2018-03-01T00:00:00.0000000Z,4444,16063.60146239,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
194,856.08,875.17,847.93,869.02,2018-03-02T23:58:43.0000000Z,2018-03-02T00:02:02.0000000Z,2018-03-03T00:00:00.0000000Z,2018-03-02T00:00:00.0000000Z,3532,7584.522677558,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
195,853.76,868.7,849.0,856.33,2018-03-03T23:58:24.0000000Z,2018-03-03T00:00:43.0000000Z,2018-03-04T00:00:00.0000000Z,2018-03-03T00:00:00.0000000Z,3769,5600.734382375,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
196,862.28,866.43,837.17,853.74,2018-03-04T23:59:55.0000000Z,2018-03-04T00:03:00.0000000Z,2018-03-05T00:00:00.0000000Z,2018-03-04T00:00:00.0000000Z,3569,5387.933256658,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
197,848.0,869.21,848.0,864.06,2018-03-05T23:59:56.0000000Z,2018-03-05T00:00:06.0000000Z,2018-03-06T00:00:00.0000000Z,2018-03-05T00:00:00.0000000Z,4018,8662.075072698,ohlcv,BITSTAMP_SPOT_ETH_USD,1DAY,2017-01-01T00:00:00,100000
