,price_close,price_open,price_high,price_low,time_close,time_open,trades_count,volume_traded,request_type,symbol_id,period_id,time_start,limit
1052,322.41,324.86,326.74,320.58,2017-10-13T09:00:00.0000000Z,2017-10-13T08:00:00.0000000Z,531,2240.27339245,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1053,325.23,322.41,326.8,322.41,2017-10-13T10:00:00.0000000Z,2017-10-13T09:00:00.0000000Z,538,1696.65402744,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1054,321.0,325.24,325.74,320.32,2017-10-13T11:00:00.0000000Z,2017-10-13T10:00:00.0000000Z,674,1895.09085866,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1055,327.33,321.01,328.5,321.01,2017-10-13T12:00:00.0000000Z,2017-10-13T11:00:00.0000000Z,745,1933.4305287,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1056,339.94,327.48,342.87,327.48,2017-10-13T13:00:00.0000000Z,2017-10-13T12:00:00.0000000Z,1671,5875.98264427,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1057,342.59,339.9,346.98,336.25,2017-10-13T14:00:00.0000000Z,2017-10-13T13:00:00.0000000Z,1180,6512.43310983,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1058,343.01,341.98,343.04,335.01,2017-10-13T15:00:00.0000000Z,2017-10-13T14:00:00.0000000Z,1400,4405.71822594,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1059,337.96,341.87,342.01,336.33,2017-10-13T16:00:00.0000000Z,2017-10-13T15:00:00.0000000Z,696,2328.52322319,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1060,342.68,337.96,342.68,337.36,2017-10-13T17:00:00.0000000Z,2017-10-13T16:00:00.0000000Z,693,1332.32720921,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1061,339.35,342.68,342.82,337.45,2017-10-13T18:00:00.0000000Z,2017-10-13T17:00:00.0000000Z,571,1919.44817867,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
1062,343.37,339.35,343.37,339.35,2017-10-13T19:00:00.0000000Z,2017-10-13T18:00:00.0000000Z,606,999.53499603,ohlcv,GEMINI_SPOT_ETH_USD,1HRS,2017-08-29T10:23:14,100000
